slot,time,hour,mean,q05,q95
21,05:15,5,0.10628084845446195,0.0,0.2746009195625413
21,05:15,6,0.1391670613928407,0.07961068911418412,0.19597186945409617
21,05:15,7,0.22900878756050064,0.07990687666846143,0.5919966661481293
21,05:15,8,0.17214292315038474,0.0,0.34929663317133486
21,05:15,9,0.0854102547471144,0.0,0.17822156108218035
21,05:15,10,0.04736098655240401,0.0,0.12179095748349783
21,05:15,11,0.02840874177378399,0.0,0.07952352191603193
21,05:15,12,0.014805682618387965,0.0,0.04715489933527631
21,05:15,13,0.005823419437134256,0.0,0.024760572928076374
21,05:15,14,0.0016484761299639906,0.0,0.01237781566016255
21,05:15,15,0.000495923735491223,0.0,0.00438276480480726
21,05:15,16,0.0001892093729693568,0.0,0.0
21,05:15,17,0.000039562523858046634,0.0,0.0
21,05:15,18,0.000023047647226428222,0.0,0.0
21,05:15,19,0.00001535485355700482,0.0,0.0
21,05:15,20,8.017684276839042e-6,0.0,0.0
21,05:15,21,9.979627751196402e-7,0.0,0.0
21,05:15,22,0.0,0.0,0.0
21,05:15,23,0.0,0.0,0.0
22,05:30,0,0.005564447792064866,0.0,0.04803840186398614
22,05:30,1,0.009973673438074034,0.0,0.059335321142769445
22,05:30,2,0.020158375245725967,0.0,0.08484359452061763
22,05:30,3,0.04073875649124865,0.0,0.1253676350431831
22,05:30,4,0.0706264453390084,0.0,0.22150654859605767
22,05:30,5,0.10240770470611259,0.0,0.29276253516024175
22,05:30,6,0.1276503941448586,0.0138348603053009,0.20752522414158314
22,05:30,7,0.20440117301402955,0.08484532647966883,0.45362305187322916
22,05:30,8,0.2011560718047183,0.011751996754727045,0.494213115692795
22,05:30,9,0.10163634264202467,0.0,0.19911138295852676
22,05:30,10,0.054419355860623124,0.0,0.1347265663552496
22,05:30,11,0.03244718127443438,0.0,0.0900960789076648
22,05:30,12,0.017953437289454217,0.0,0.05600197807219112
22,05:30,13,0.007659655618948046,0.0,0.030266311829575954
22,05:30,14,0.0022587049839878494,0.0,0.01765920463452897
22,05:30,15,0.0006167904001175123,0.0,0.004782649008513135
22,05:30,16,0.00022866565755178724,0.0,0.0
22,05:30,17,0.000059652580493434324,0.0,0.0
22,05:30,18,0.00002205700873699603,0.0,0.0
22,05:30,19,0.000014268464818501573,0.0,0.0
22,05:30,20,6.8462429574855655e-6,0.0,0.0
22,05:30,21,0.0,0.0,0.0
22,05:30,22,0.0,0.0,0.0
22,05:30,23,0.0,0.0,0.0
23,05:45,0,0.004881272002011808,0.0,0.0441952039267967
23,05:45,1,0.00840723791926781,0.0,0.05621867183207058
23,05:45,2,0.016192352672758772,0.0,0.07799840144807446
23,05:45,3,0.0337379915907231,0.0,0.11067418720566752
23,05:45,4,0.06262304777254964,0.0,0.19964494178151654
23,05:45,5,0.09569837474864945,0.0,0.2866533275663225
23,05:45,6,0.11719189699628918,0.0,0.23134256196181213
23,05:45,7,0.17755073412698363,0.08876892782671472,0.3170769556581051
23,05:45,8,0.228388991001069,0.03827274818869725,0.6245335030960415
23,05:45,9,0.12216426542976375,0.0,0.23998877908310734
23,05:45,10,0.062475662958104194,0.0,0.14645959462058455
23,05:45,11,0.036325624423560965,0.0,0.09964997868982284
23,05:45,12,0.02089336596653854,0.0,0.06284727835550766
23,05:45,13,0.009250964055844945,0.0,0.03545649263523121
23,05:45,14,0.0029688935658703283,0.0,0.02078976949752992
23,05:45,15,0.0008304227905021103,0.0,0.006434167795753176
23,05:45,16,0.0002740726944984428,0.0,0.0
23,05:45,17,0.00009330212004073715,0.0,0.0
23,05:45,18,0.000024345675952148497,0.0,0.0
23,05:45,19,0.000016458369332445934,0.0,0.0
23,05:45,20,8.948606127625345e-6,0.0,0.0
23,05:45,21,1.7745135541452282e-6,0.0,0.0
23,05:45,22,0.0,0.0,0.0
23,05:45,23,0.0,0.0,0.0
