model,variant,fold,stratum,metric,value,n
B3,main,pooled,nonop,cov50,0.3500717360114778,1394
B3,main,pooled,nonop,cov80,0.7230989956958394,1394
B3,main,pooled,nonop,cov90,0.8923959827833573,1394
B4,main,f1,all,mae,12.507399469614029,1152
B4,main,f1,all,rmse,17.518653610704007,1152
B4,main,f1,all,crps,9.273203441692756,1152
B4,main,f1,all,cov50,0.6059027777777778,1152
B4,main,f1,all,cov80,0.8411458333333334,1152
B4,main,f1,all,cov90,0.9522569444444444,1152
B4,main,f1,op,mae,14.763357146581013,960
B4,main,f1,op,rmse,19.175554435649865,960
B4,main,f1,op,crps,10.884808377542974,960
B4,main,f1,op,cov50,0.5552083333333333,960
B4,main,f1,op,cov80,0.8166666666666667,960
B4,main,f1,op,cov90,0.94375,960
B4,main,f1,nonop,mae,1.2276110847791035,192
B4,main,f1,nonop,rmse,1.7058447813735653,192
B4,main,f1,nonop,crps,1.2151787624416646,192
B4,main,f1,nonop,cov50,0.859375,192
B4,main,f1,nonop,cov80,0.9635416666666666,192
B4,main,f1,nonop,cov90,0.9947916666666666,192
B4,main,f2,all,mae,10.311826355182207,1248
B4,main,f2,all,rmse,15.534022796930078,1248
B4,main,f2,all,crps,7.8117492657180945,1248
B4,main,f2,all,cov50,0.5056089743589743,1248
B4,main,f2,all,cov80,0.7972756410256411,1248
B4,main,f2,all,cov90,0.8886217948717948,1248
B4,main,f2,op,mae,15.131398805727562,768
B4,main,f2,op,rmse,19.641673282474894,768
B4,main,f2,op,crps,11.505644057691262,768
B4,main,f2,op,cov50,0.44921875,768
B4,main,f2,op,cov80,0.6927083333333334,768
B4,main,f2,op,cov90,0.8190104166666666,768
B4,main,f2,nonop,mae,2.6005104343096415,480
B4,main,f2,nonop,rmse,3.1816222477899405,480
B4,main,f2,nonop,crps,1.9015175985610278,480
B4,main,f2,nonop,cov50,0.5958333333333333,480
B4,main,f2,nonop,cov80,0.9645833333333333,480
B4,main,f2,nonop,cov90,1.0,480
B4,main,f3,all,mae,9.08184940403416,1344
B4,main,f3,all,rmse,14.765355382825252,1344
B4,main,f3,all,crps,6.809963815281621,1344
B4,main,f3,all,cov50,0.5691964285714286,1344
