model,variant,fold,stratum,metric,value,n
B0,main,pooled,nonop,brier_raw_C75,0.2857142857142857,14
B0,main,pooled,nonop,auc_C75,NaN,14
B0,main,pooled,nonop,n_events_C75,0.0,14
B0,main,pooled,nonop,brier_raw_C90,0.2857142857142857,14
B0,main,pooled,nonop,auc_C90,NaN,14
B0,main,pooled,nonop,n_events_C90,0.0,14
B0,main,pooled,nonop,brier_mean_raw,0.2857142857142857,14
M2,main,f1,all,peak_mae,21.894735520000825,12
M2,main,f1,all,peak_hit2,0.16666666666666666,12
M2,main,f1,all,brier_raw_C50,0.06972719966060566,12
M2,main,f1,all,auc_C50,1.0,12
M2,main,f1,all,n_events_C50,8.0,12
M2,main,f1,all,brier_raw_C75,0.4022222616338677,12
M2,main,f1,all,auc_C75,0.875,12
M2,main,f1,all,n_events_C75,8.0,12
M2,main,f1,all,brier_raw_C90,0.29213095421739826,12
M2,main,f1,all,auc_C90,0.65625,12
M2,main,f1,all,n_events_C90,4.0,12
M2,main,f1,all,brier_mean_raw,0.2546934718372905,12
M2,main,f1,op,peak_mae,11.43009109121796,10
M2,main,f1,op,peak_hit2,0.2,10
M2,main,f1,op,brier_raw_C50,0.08365674994724934,10
